,age,gender,Worried?
241,60,Male,No
242,60,Male,Yes
243,18 - 29,Female,Yes
244,60,Male,No
245,45 - 59,Male,No
246,30 - 44,Male,Yes
247,60,Female,No
248,45 - 59,Male,No
249,18 - 29,Female,Yes
250,60,Male,No
251,18 - 29,Female,No
252,60,Female,No
253,18 - 29,Male,Yes
254,60,Male,No
255,18 - 29,Female,Yes
256,60,Male,No
257,60,Female,No
258,60,Male,No
259,45 - 59,Male,No
260,45 - 59,Female,No
261,45 - 59,Female,No
262,18 - 29,Female,Yes
263,30 - 44,Male,Yes
264,18 - 29,Female,Yes
265,45 - 59,Female,No
266,18 - 29,Male,No
267,45 - 59,Female,No
268,45 - 59,Female,Yes
269,18 - 29,Male,Yes
270,45 - 59,Male,No
271,60,Male,Yes
272,45 - 59,Female,No
273,45 - 59,Female,Yes
274,60,Female,No
275,30 - 44,Male,No
276,45 - 59,Female,No
277,45 - 59,Male,Yes
278,45 - 59,Male,Yes
279,18 - 29,Female,Yes
280,18 - 29,Female,No
281,45 - 59,Female,Yes
282,60,Female,No
283,45 - 59,Female,Yes
284,45 - 59,Female,No
285,18 - 29,Female,Yes
286,60,Male,No
287,45 - 59,Female,No
288,45 - 59,Female,No
289,45 - 59,Female,Yes
290,45 - 59,Female,Yes
291,45 - 59,Male,No
292,30 - 44,Female,Yes
293,45 - 59,Male,No
294,60,Female,No
295,30 - 44,Male,No
296,18 - 29,Female,No
297,45 - 59,Male,No
298,30 - 44,Female,Yes
299,30 - 44,Female,No
300,45 - 59,Female,No
301,30 - 44,Female,Yes
302,30 - 44,Female,No
303,18 - 29,Female,No
304,30 - 44,Male,Yes
305,60,Female,No
306,30 - 44,Female,Yes
307,60,Male,Yes
308,45 - 59,Female,Yes
309,18 - 29,Female,Yes
310,30 - 44,Male,Yes
311,45 - 59,Female,Yes
312,60,Male,No
313,30 - 44,Female,No
314,30 - 44,Female,Yes
315,30 - 44,Male,No
316,30 - 44,Female,No
317,60,Male,Yes
318,18 - 29,Female,No
319,18 - 29,Female,No
320,30 - 44,Male,No
321,30 - 44,Female,Yes
322,45 - 59,Female,No
323,30 - 44,Male,No
324,30 - 44,Female,Yes
325,30 - 44,Male,Yes
326,30 - 44,Female,Yes
327,18 - 29,Female,No
328,60,Female,No
329,45 - 59,Male,No
330,60,Female,No
331,60,Female,Yes
332,60,Female,No
333,18 - 29,Female,Yes
334,60,Male,Yes
335,18 - 29,Female,Yes
336,18 - 29,Female,Yes
337,30 - 44,Male,No
338,30 - 44,Female,No
339,30 - 44,Female,Yes
340,45 - 59,Female,No
341,60,Male,Yes
342,30 - 44,Female,No
343,45 - 59,Female,Yes
344,45 - 59,Female,No
345,18 - 29,Female,No
346,45 - 59,Male,Yes
347,60,Female,No
348,45 - 59,Male,No
349,45 - 59,Female,No
350,45 - 59,Female,No
351,45 - 59,Female,Yes
352,45 - 59,Male,Yes
353,18 - 29,Female,No
354,60,Female,Yes
355,60,Male,No
356,18 - 29,Male,No
357,18 - 29,Male,No
358,,,Yes
359,30 - 44,Female,No
360,45 - 59,Male,Yes
361,45 - 59,Female,No
362,60,Male,Yes
363,60,Female,No
364,18 - 29,Male,Yes
365,30 - 44,Female,No
366,60,Male,No
367,45 - 59,Male,Yes
368,18 - 29,Female,No
369,30 - 44,Female,Yes
370,45 - 59,Female,No
371,60,Male,No
372,60,Female,Yes
373,60,Female,Yes
374,60,Female,Yes
375,30 - 44,Female,Yes
376,60,Male,No
